credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,es_moroso,probabilidad_mora,prediccion_mora,fecha_id
CR000359,CL00322,2026-03-08,Microcrédito,3450000,3,0.0415,1247000,App,792,0.5008,Manual,Activo,0,0.35699649263294686,0,20260308
CR000360,CL00323,2024-09-29,Crédito libre inversión,8050000,6,0.0207,1440000,App,750,0.5333,Manual,Finalizado,0,0.6136044464296634,1,20240929
CR000361,CL00324,2025-07-01,Microcrédito,2500000,3,0.0358,894000,Aliado,900,0.3679,Manual,Finalizado,0,0.42977769252611897,0,20250701
CR000362,CL00325,2024-08-22,Crédito libre inversión,7200000,3,0.0335,2563000,Web,296,1.5821,Excepción,Mora moderada,1,0.77201239327942,1,20240822
CR000363,CL00327,2024-09-30,Crédito libre inversión,1200000,3,0.0274,422000,App,731,0.6594,Excepción,Mora moderada,1,0.8675242449485018,1,20240930
CR000364,CL00328,2025-03-12,Microcrédito,2500000,3,0.0382,898000,Call center,860,0.2897,Automática,Finalizado,0,0.3062344276364941,0,20250312
CR000365,CL00328,2024-09-19,Crédito consumo digital,1950000,6,0.0266,356000,App,896,0.1148,Automática,Finalizado,0,0.3069477685648013,0,20240919
CR000366,CL00328,2025-04-09,Crédito consumo digital,1150000,6,0.0306,213000,App,900,0.0687,Automática,Finalizado,0,0.28061181253264145,0,20250409
CR000367,CL00329,2025-12-22,Crédito consumo digital,2050000,9,0.0209,252000,Web,900,0.0708,Automática,Activo,0,0.19262018332759784,0,20251222
CR000368,CL00332,2024-05-11,Crédito consumo digital,1750000,6,0.0352,329000,App,767,0.1388,Automática,Finalizado,0,0.5985481272091947,1,20240511
CR000369,CL00333,2025-01-25,Avance de nómina,1250000,3,0.0308,443000,Web,781,0.2395,Automática,Mora moderada,1,0.38525508601960157,0,20250125
CR000370,CL00334,2024-03-15,Crédito consumo digital,1000000,6,0.0322,186000,App,704,0.0886,Automática,Finalizado,0,0.31345275884398616,0,20240315
CR000371,CL00335,2026-02-08,Crédito consumo digital,1400000,3,0.0271,492000,Aliado,900,0.1386,Automática,Activo,0,0.18886950962654,0,20260208
CR000372,CL00336,2024-10-04,Microcrédito,2800000,12,0.0414,301000,Aliado,830,0.1091,Automática,Finalizado,0,0.569598707362908,1,20241004
CR000373,CL00340,2024-01-01,Microcrédito,5450000,9,0.0359,719000,App,900,0.1692,Automática,Finalizado,0,0.32726404811157017,0,20240101
CR000374,CL00341,2025-07-26,Microcrédito,950000,9,0.0435,130000,Web,699,0.0818,Automática,Mora severa,1,0.7877601512892904,1,20250726
CR000375,CL00341,2026-02-23,Crédito libre inversión,2600000,9,0.0278,330000,Aliado,748,0.2075,Automática,Activo,0,0.6609345517363182,1,20260223
CR000376,CL00344,2025-05-11,Crédito consumo digital,1650000,6,0.0255,300000,App,881,0.1887,Automática,Finalizado,0,0.5226461439108308,1,20250511
CR000377,CL00344,2025-12-18,Crédito consumo digital,900000,9,0.033,117000,Aliado,838,0.0736,Automática,Activo,0,0.34817847101836835,0,20251218
CR000378,CL00345,2025-09-11,Microcrédito,850000,9,0.0445,117000,Call center,585,0.2089,Manual,Mora moderada,1,0.7466525349162728,1,20250911
CR000379,CL00345,2026-01-29,Crédito consumo digital,550000,12,0.0202,52000,Aliado,694,0.0929,Automática,Mora moderada,1,0.5833706468145582,1,20260129
CR000380,CL00346,2026-02-19,Crédito consumo digital,3200000,12,0.0305,322000,Call center,827,0.1253,Automática,Activo,0,0.6957890461902556,1,20260219
CR000381,CL00347,2026-02-12,Microcrédito,2100000,9,0.04,282000,App,805,0.1097,Automática,Mora moderada,1,0.4817862397500411,0,20260212
CR000382,CL00348,2025-08-09,Crédito libre inversión,1950000,6,0.0305,361000,App,797,0.1778,Automática,Mora moderada,1,0.6541012773835622,1,20250809
CR000383,CL00349,2025-06-17,Crédito consumo digital,1700000,12,0.0306,171000,App,900,0.052,Automática,Mora moderada,1,0.36443041669159654,0,20250617
CR000384,CL00351,2024-11-15,Avance de nómina,700000,6,0.0309,130000,Web,778,0.0553,Automática,Mora moderada,1,0.6126372317588346,1,20241115
CR000385,CL00352,2025-03-05,Crédito consumo digital,1300000,6,0.0206,233000,App,822,0.1438,Automática,Finalizado,0,0.2852982526042285,0,20250305
CR000386,CL00353,2023-06-02,Crédito libre inversión,18800000,6,0.017,3323000,Aliado,900,0.3323,Automática,Finalizado,0,0.29686316619162156,0,20230602
CR000387,CL00354,2025-05-30,Crédito consumo digital,1950000,9,0.0309,252000,App,844,0.0881,Automática,Finalizado,0,0.4121984750121011,0,20250530
CR000388,CL00355,2025-03-06,Crédito consumo digital,1600000,18,0.0311,117000,Call center,891,0.06,Automática,Activo,0,0.29832170647731726,0,20250306
CR000389,CL00356,2025-11-13,Crédito consumo digital,1250000,18,0.0303,91000,Aliado,820,0.0446,Automática,Activo,0,0.37719713239085106,0,20251113
CR000390,CL00357,2025-06-25,Crédito libre inversión,950000,3,0.0258,333000,Aliado,719,0.2622,Automática,Finalizado,0,0.4285141683413936,0,20250625
CR000391,CL00357,2024-10-17,Microcrédito,1050000,12,0.0269,104000,Web,740,0.0819,Automática,Mora severa,1,0.7071290502359541,1,20241017
CR000392,CL00358,2024-02-24,Microcrédito,8050000,9,0.0333,1050000,App,878,0.3088,Automática,Finalizado,0,0.4034652424875449,0,20240224
CR000393,CL00359,2026-03-23,Crédito libre inversión,6700000,24,0.0273,384000,App,874,0.1333,Automática,Activo,0,0.36988635259870734,0,20260323
CR000394,CL00362,2024-10-25,Avance de nómina,800000,12,0.0244,78000,App,820,0.0438,Automática,Mora severa,1,0.7442490156371989,1,20241025
CR000395,CL00363,2024-08-01,Crédito libre inversión,2950000,6,0.0202,527000,Aliado,900,0.1514,Automática,Finalizado,0,0.4023153248460526,0,20240801
CR000396,CL00363,2024-02-13,Avance de nómina,1700000,12,0.0214,162000,Aliado,900,0.0466,Automática,Finalizado,0,0.28454183857114973,0,20240213
CR000397,CL00364,2026-02-13,Crédito consumo digital,2250000,6,0.0323,418000,App,884,0.1614,Automática,Activo,0,0.2711170331426432,0,20260213
CR000398,CL00364,2026-03-10,Crédito consumo digital,700000,9,0.026,88000,Aliado,791,0.034,Automática,Activo,0,0.2695319738226951,0,20260310
CR000399,CL00366,2026-01-06,Avance de nómina,1200000,12,0.0214,114000,App,897,0.0432,Automática,Activo,0,0.2318595505790582,0,20260106
CR000400,CL00366,2025-10-23,Crédito consumo digital,1750000,18,0.0321,130000,Web,877,0.0492,Automática,Activo,0,0.2643379500484254,0,20251023
CR000401,CL00368,2025-11-17,Microcrédito,2300000,12,0.0428,249000,Web,571,0.1215,Manual,Activo,0,0.5391643940283447,1,20251117
CR000402,CL00369,2025-12-28,Crédito consumo digital,1250000,12,0.0363,130000,App,795,0.0588,Automática,Activo,0,0.23739081807194537,0,20251228
CR000403,CL00369,2025-02-07,Crédito libre inversión,3550000,9,0.0277,451000,Web,816,0.2041,Automática,Mora moderada,1,0.4719785871766747,0,20250207
CR000404,CL00369,2024-09-10,Avance de nómina,850000,9,0.0261,107000,Aliado,900,0.0484,Automática,Finalizado,0,0.5140524388554756,1,20240910
CR000405,CL00371,2026-02-20,Crédito consumo digital,2300000,9,0.0351,303000,App,695,0.0723,Automática,Activo,0,0.15678830459447382,0,20260220
CR000406,CL00372,2024-07-11,Crédito consumo digital,1700000,9,0.033,221000,Aliado,900,0.0505,Automática,Finalizado,0,0.2034401706281926,0,20240711
CR000407,CL00374,2024-05-02,Crédito libre inversión,1700000,18,0.0171,110000,Web,566,0.0618,Manual,Finalizado,0,0.5951778962847252,1,20240502
CR000408,CL00375,2023-04-11,Microcrédito,3200000,12,0.0251,312000,App,851,0.1345,Automática,Mora severa,1,0.6616421143985114,1,20230411
CR000409,CL00375,2023-08-07,Microcrédito,2700000,6,0.0374,511000,App,787,0.2203,Automática,Mora moderada,1,0.6113507399898024,1,20230807
CR000410,CL00376,2024-06-26,Avance de nómina,450000,12,0.029,45000,Call center,883,0.015,Automática,Finalizado,0,0.42622405509360484,0,20240626
CR000411,CL00376,2025-08-11,Crédito consumo digital,800000,9,0.0319,104000,Aliado,790,0.0346,Automática,Activo,0,0.3741249135554454,0,20250811
CR000412,CL00376,2023-05-02,Crédito libre inversión,1750000,3,0.0196,606000,Aliado,860,0.2013,Automática,Finalizado,0,0.3729090887263617,0,20230502
CR000413,CL00377,2026-03-15,Crédito consumo digital,1400000,12,0.0246,136000,App,831,0.0469,Automática,Activo,0,0.262047979359602,0,20260315
CR000414,CL00378,2026-01-06,Crédito consumo digital,900000,12,0.0225,86000,Aliado,704,0.0497,Automática,Activo,0,0.3854849097644891,0,20260106
CR000415,CL00378,2026-01-18,Crédito libre inversión,1800000,3,0.017,621000,Web,677,0.359,Manual,Mora moderada,1,0.3686879389939381,0,20260118
CR000416,CL00379,2024-10-31,Crédito libre inversión,2950000,9,0.0246,369000,Web,873,0.0979,Automática,Mora moderada,1,0.3549120229409771,0,20241031
CR000417,CL00380,2025-11-24,Crédito consumo digital,2700000,9,0.0341,353000,App,786,0.1293,Automática,Activo,0,0.450754573563059,0,20251124
CR000418,CL00380,2025-10-23,Crédito libre inversión,3000000,6,0.018,532000,App,867,0.1949,Automática,Finalizado,0,0.5006766439036859,1,20251023
CR000419,CL00380,2026-03-10,Crédito consumo digital,2100000,9,0.035,276000,Web,857,0.1011,Automática,Activo,0,0.19821746410952937,0,20260310
CR000420,CL00381,2023-11-22,Crédito consumo digital,900000,9,0.0223,111000,Aliado,747,0.073,Automática,Mora severa,1,0.8135811012396408,1,20231122
CR000421,CL00382,2025-09-27,Crédito libre inversión,6800000,3,0.0339,2422000,App,900,0.3387,Automática,Finalizado,0,0.3417244956540918,0,20250927
CR000422,CL00383,2025-07-18,Microcrédito,3350000,9,0.0324,435000,App,869,0.1154,Automática,Mora moderada,1,0.7973788940239793,1,20250718
CR000423,CL00383,2026-01-02,Crédito consumo digital,1350000,9,0.0356,178000,Web,795,0.0472,Automática,Activo,0,0.4295266236683876,0,20260102
CR000424,CL00384,2025-05-22,Crédito consumo digital,4150000,18,0.0323,308000,Aliado,877,0.0725,Automática,Activo,0,0.38725639559606423,0,20250522
CR000425,CL00384,2026-02-13,Microcrédito,2950000,12,0.0289,294000,App,900,0.0692,Automática,Activo,0,0.29569387324636537,0,20260213
CR000426,CL00385,2026-01-13,Crédito consumo digital,1300000,12,0.0269,128000,Aliado,848,0.0604,Automática,Activo,0,0.46391915473665213,0,20260113
CR000427,CL00386,2024-03-09,Crédito consumo digital,2100000,6,0.0237,380000,Web,780,0.1467,Automática,Mora severa,1,0.7356934812317233,1,20240309
CR000428,CL00386,2025-10-15,Crédito consumo digital,1150000,18,0.036,88000,App,794,0.034,Automática,Mora moderada,0,0.5029308036031481,1,20251015
CR000429,CL00387,2025-12-26,Crédito libre inversión,3700000,6,0.028,678000,App,679,0.2638,Automática,Mora moderada,1,0.7960825282039745,1,20251226
CR000430,CL00389,2025-08-31,Crédito libre inversión,6650000,24,0.0221,360000,App,877,0.1682,Automática,Activo,0,0.2977077927489844,0,20250831
CR000431,CL00390,2024-11-02,Avance de nómina,1050000,6,0.0291,193000,Aliado,900,0.039,Automática,Finalizado,0,0.19666916337038026,0,20241102
CR000432,CL00391,2025-07-12,Avance de nómina,350000,6,0.0195,62000,App,797,0.0323,Automática,Finalizado,0,0.5103469101425787,1,20250712
CR000433,CL00393,2026-02-22,Avance de nómina,250000,6,0.0241,45000,Aliado,720,0.0616,Automática,Activo,0,0.5768574803784438,1,20260222
CR000434,CL00394,2025-11-16,Crédito consumo digital,1950000,12,0.0294,195000,Aliado,727,0.1147,Automática,Activo,0,0.23236302039054685,0,20251116
CR000435,CL00394,2025-10-22,Crédito consumo digital,1350000,9,0.0309,174000,Web,769,0.1024,Automática,Activo,0,0.23236302039054685,0,20251022
CR000436,CL00395,2025-09-11,Crédito libre inversión,4650000,12,0.0228,447000,App,803,0.1437,Automática,Activo,0,0.37267984107716035,0,20250911
CR000437,CL00395,2024-02-22,Crédito consumo digital,1550000,9,0.0352,204000,Web,834,0.0656,Automática,Finalizado,0,0.13759188708987333,0,20240222
CR000438,CL00395,2025-03-28,Crédito consumo digital,1950000,9,0.0329,254000,App,842,0.0817,Automática,Finalizado,0,0.13460838017568177,0,20250328
CR000439,CL00397,2026-03-09,Microcrédito,1850000,3,0.0287,652000,Aliado,741,0.3622,Manual,Activo,0,0.25296773690254293,0,20260309
CR000440,CL00398,2025-07-24,Crédito consumo digital,550000,12,0.0278,55000,App,719,0.1222,Automática,Mora severa,1,0.8356891259568133,1,20250724
CR000441,CL00399,2025-01-03,Microcrédito,1100000,6,0.0346,206000,App,798,0.1177,Automática,Mora moderada,1,0.6481453866674338,1,20250103
CR000442,CL00399,2025-01-03,Crédito consumo digital,1350000,18,0.0367,104000,App,829,0.0594,Automática,Mora severa,1,0.651047213213846,1,20250103
CR000443,CL00400,2025-07-30,Crédito consumo digital,1850000,12,0.0258,181000,App,900,0.087,Automática,Activo,0,0.3212202533188706,0,20250730
CR000444,CL00401,2025-02-12,Crédito libre inversión,6000000,3,0.0312,2126000,App,708,0.9325,Excepción,Finalizado,0,0.660870765118426,1,20250212
CR000445,CL00401,2026-03-27,Crédito consumo digital,1400000,6,0.0232,253000,App,783,0.111,Automática,Activo,0,0.22998682897391853,0,20260327
CR000446,CL00402,2025-12-18,Avance de nómina,1400000,9,0.0284,178000,App,827,0.048,Automática,Activo,0,0.4180991449638151,0,20251218
CR000447,CL00404,2026-03-02,Microcrédito,2750000,6,0.0315,510000,Web,673,0.2656,Automática,Activo,0,0.5408971846039624,1,20260302
CR000448,CL00405,2025-10-03,Crédito libre inversión,1950000,6,0.0243,353000,App,798,0.1374,Automática,Mora moderada,1,0.4824898419149162,0,20251003
CR000449,CL00406,2023-07-09,Crédito consumo digital,950000,6,0.12,176000,Call center,854,0.0765,Automática,Finalizado,0,0.27003524115342525,0,20230709
CR000450,CL00406,2024-07-27,Crédito consumo digital,3300000,3,0.0344,1177000,App,836,0.5117,Manual,Finalizado,0,0.3195054045994955,0,20240727
CR000451,CL00407,2025-05-14,Microcrédito,1500000,12,0.0352,155000,App,783,0.0622,Automática,Activo,0,0.5815297349401574,1,20250514
CR000452,CL00408,2025-07-10,Crédito consumo digital,1250000,6,0.0319,232000,App,884,0.072,Automática,Finalizado,0,0.47489328736758485,0,20250710
CR000453,CL00410,2024-10-13,Microcrédito,3550000,12,0.0359,369000,Call center,804,0.1157,Automática,Finalizado,0,0.5676612338024881,1,20241013
CR000454,CL00411,2025-09-01,Crédito consumo digital,4050000,3,0.0303,1433000,App,900,0.2334,Automática,Finalizado,0,0.1957801919314808,0,20250901
CR000455,CL00412,2026-01-15,Crédito consumo digital,800000,6,0.029,147000,App,873,0.0782,Automática,Activo,0,0.2583181426771475,0,20260115
CR000456,CL00412,2026-02-12,Microcrédito,1500000,12,0.0279,149000,App,805,0.0793,Automática,Activo,0,0.3735187435512874,0,20260212
CR000457,CL00413,2024-05-27,Crédito libre inversión,1250000,3,0.0243,437000,App,719,0.2241,Automática,Finalizado,0,0.5929508168588457,1,20240527
CR000458,CL00413,2025-04-17,Crédito consumo digital,1450000,6,0.0238,262000,Aliado,811,0.1344,Automática,Mora moderada,1,0.6691979761805834,1,20250417
CR000459,CL00414,2025-07-31,Microcrédito,4800000,12,0.031,485000,App,623,0.1488,Automática,Activo,0,0.46441585302600824,0,20250731
CR000460,CL00415,2024-06-24,Crédito consumo digital,900000,24,0.0228,49000,Web,758,0.0206,Automática,Activo,0,0.6194461075419834,1,20240624
CR000461,CL00415,2025-08-21,Microcrédito,3400000,6,0.0389,646000,Web,774,0.2714,Automática,Finalizado,0,0.36615767247414815,0,20250821
CR000462,CL00416,2025-06-01,Crédito consumo digital,1650000,12,0.0358,172000,Aliado,874,0.0435,Automática,Activo,0,0.1988893258957658,0,20250601
CR000463,CL00416,2023-11-20,Avance de nómina,1200000,12,0.0249,117000,App,900,0.0296,Automática,Finalizado,0,0.22229289286046314,0,20231120
CR000464,CL00417,2024-05-27,Microcrédito,2500000,6,0.0302,462000,App,900,0.14,Automática,Mora severa,1,0.39686676681974814,0,20240527
CR000465,CL00417,2023-10-15,Crédito consumo digital,450000,18,0.0355,34000,Aliado,900,0.0103,Automática,Finalizado,0,0.23160865718343748,0,20231015
CR000466,CL00417,2026-01-26,Microcrédito,2050000,6,0.0385,389000,Call center,869,0.1179,Automática,Activo,0,0.22311614389616918,0,20260126
CR000467,CL00418,2025-12-31,Crédito libre inversión,1650000,6,0.0269,301000,App,815,0.0865,Automática,Activo,0,0.5788254456714207,1,20251231
CR000468,CL00420,2024-06-15,Crédito consumo digital,1550000,12,0.0203,147000,App,789,0.0735,Automática,Finalizado,0,0.6397897107609918,1,20240615
CR000469,CL00421,2026-02-16,Microcrédito,1550000,9,0.0335,202000,Web,814,0.0774,Automática,Activo,0,0.24173881877370237,0,20260216
CR000470,CL00422,2025-12-12,Crédito consumo digital,3550000,6,0.0223,639000,App,900,0.1551,Automática,Activo,0,0.1527547564633447,0,20251212
CR000471,CL00424,2025-09-02,Microcrédito,2500000,9,0.0303,322000,Aliado,776,0.1188,Automática,Activo,0,0.4912529494174303,0,20250902
CR000472,CL00424,2025-12-20,Crédito libre inversión,7150000,24,0.0325,434000,App,810,0.1601,Automática,Mora moderada,1,0.46082115996713413,0,20251220
CR000473,CL00425,2025-07-24,Avance de nómina,1850000,3,0.0224,644000,App,900,0.1651,Automática,Finalizado,0,0.4591724547293965,0,20250724
CR000474,CL00426,2025-10-13,Crédito consumo digital,1800000,9,0.0278,229000,Web,819,0.1487,Automática,Activo,0,0.5606069763020919,1,20251013
CR000475,CL00427,2025-09-05,Crédito consumo digital,1800000,9,0.0303,232000,Web,831,0.0875,Automática,Activo,0,0.7979006147616496,1,20250905
CR000476,CL00427,2025-11-11,Microcrédito,800000,6,0.0449,155000,Aliado,812,0.0585,Automática,Mora severa,1,0.7710407365435783,1,20251111
CR000477,CL00428,2025-04-22,Avance de nómina,750000,3,0.028,264000,App,591,0.1217,Manual,Finalizado,0,0.3537370557304293,0,20250422
CR000478,CL00430,2025-09-10,Crédito consumo digital,2650000,12,0.0381,279000,Call center,826,0.0813,Automática,Mora moderada,1,0.344385127084005,0,20250910
CR000479,CL00430,2026-01-18,Avance de nómina,1150000,9,0.0267,145000,App,900,0.0423,Automática,Activo,0,0.24208768047781182,0,20260118
CR000480,CL00430,2025-11-03,Avance de nómina,1900000,3,0.0285,670000,Aliado,881,0.1953,Automática,Finalizado,0,0.25907901350058316,0,20251103
CR000481,CL00431,2023-12-15,Crédito libre inversión,5200000,3,0.0199,1803000,App,763,0.6703,Excepción,Finalizado,0,0.7618784716951469,1,20231215
CR000482,CL00431,2025-09-27,Microcrédito,1250000,18,0.0383,97000,App,732,0.0361,Automática,Activo,0,0.5065947808728551,1,20250927
CR000483,CL00431,2025-09-21,Crédito consumo digital,800000,3,0.0201,277000,Aliado,820,0.103,Automática,Finalizado,0,0.368937890516348,0,20250921
CR000484,CL00433,2025-12-24,Crédito consumo digital,1800000,6,0.0323,335000,Web,831,0.0748,Automática,Activo,0,0.27603441121229433,0,20251224
CR000485,CL00434,2025-08-06,Crédito libre inversión,2350000,12,0.0309,237000,App,569,0.0905,Manual,Activo,0,0.6516108821001028,1,20250806
CR000486,CL00434,2026-03-22,Crédito consumo digital,1650000,6,0.0386,313000,App,658,0.1195,Automática,Activo,0,0.25151233302577997,0,20260322
CR000487,CL00436,2025-07-27,Crédito consumo digital,700000,3,0.0281,247000,App,774,0.135,Automática,Finalizado,0,0.4337368157892217,0,20250727
CR000488,CL00437,2025-04-28,Crédito consumo digital,850000,6,0.0277,156000,Call center,814,0.0796,Automática,Finalizado,0,0.32778663828967397,0,20250428
CR000489,CL00438,2024-08-27,Crédito consumo digital,1500000,6,0.0201,268000,App,900,0.077,Automática,Finalizado,0,0.24741966454003791,0,20240827
CR000490,CL00438,2025-07-27,Avance de nómina,1000000,6,0.0238,181000,Aliado,900,0.052,Automática,Finalizado,0,0.23329857884258332,0,20250727
CR000491,CL00439,2024-10-27,Crédito consumo digital,2000000,3,0.0299,707000,App,874,0.1817,Automática,Mora moderada,1,0.3920187537111864,0,20241027
CR000492,CL00440,2025-07-19,Microcrédito,1600000,18,0.0424,129000,App,766,0.1554,Automática,Mora moderada,1,0.8359026197192821,1,20250719
CR000493,CL00441,2025-10-24,Microcrédito,500000,6,0.0285,92000,Aliado,756,0.1484,Automática,Mora severa,1,0.6645125804482942,1,20251024
CR000494,CL00441,2026-03-22,Microcrédito,550000,12,0.0326,56000,App,738,0.0903,Automática,Activo,0,0.4054377259019262,0,20260322
CR000495,CL00442,2025-10-06,Crédito consumo digital,900000,3,0.0335,320000,App,548,0.1208,Manual,Mora moderada,1,0.48208902910935153,0,20251006
CR000496,CL00442,2025-07-04,Crédito consumo digital,1600000,6,0.0229,288000,Aliado,598,0.1087,Manual,Mora moderada,1,0.5578669700848482,1,20250704
CR000497,CL00443,2025-11-13,Microcrédito,2550000,12,0.0445,279000,Call center,878,0.0883,Automática,Activo,0,0.6949088416152637,1,20251113
CR000498,CL00443,2026-01-10,Crédito libre inversión,2800000,3,0.0289,988000,App,859,0.3127,Automática,Mora moderada,1,0.5606867532407679,1,20260110
CR000499,CL00444,2025-09-06,Microcrédito,5000000,9,0.0315,647000,App,898,0.1609,Automática,Activo,0,0.34926144792719543,0,20250906
CR000500,CL00445,2026-02-14,Crédito libre inversión,5050000,9,0.0268,639000,App,825,0.2708,Automática,Activo,0,0.31401334733543207,0,20260214
CR000501,CL00446,2026-03-02,Avance de nómina,1100000,3,0.095,381000,Web,900,0.1406,Automática,Activo,0,0.27672015300724007,0,20260302
CR000502,CL00447,2025-07-02,Crédito libre inversión,9450000,12,0.0199,893000,Aliado,900,0.1436,Automática,Activo,0,0.29434281517819555,0,20250702
CR000503,CL00447,2024-10-17,Crédito consumo digital,2700000,3,0.0299,954000,App,900,0.1534,Automática,Finalizado,0,0.18476545243425657,0,20241017
CR000504,CL00449,2025-12-16,Crédito consumo digital,500000,12,0.0376,53000,App,628,0.0791,Automática,Mora moderada,1,0.6796789316719343,1,20251216
CR000505,CL00449,2025-12-26,Crédito libre inversión,400000,3,0.0214,139000,App,689,0.2075,Automática,Finalizado,0,0.5893378959527616,1,20251226
CR000506,CL00450,2026-02-23,Crédito libre inversión,3050000,12,0.0325,311000,Aliado,864,0.1115,Automática,Mora moderada,1,0.5431547893995521,1,20260223
CR000507,CL00450,2025-06-12,Crédito consumo digital,1750000,9,0.0212,216000,App,860,0.0774,Automática,Finalizado,0,0.5748222603914429,1,20250612
CR000508,CL00451,2024-11-22,Crédito consumo digital,1100000,6,0.0374,208000,Aliado,900,0.1189,Automática,Finalizado,0,0.4141456102285991,0,20241122
CR000509,CL00452,2025-11-01,Crédito consumo digital,650000,12,0.0326,66000,App,897,0.0278,Automática,Activo,0,0.3049376114475858,0,20251101
CR000510,CL00453,2024-03-01,Crédito consumo digital,1450000,6,0.0219,261000,App,795,0.0853,Automática,Finalizado,0,0.3885720015021649,0,20240301
CR000511,CL00453,2023-12-29,Crédito libre inversión,3500000,12,0.0246,340000,Web,861,0.1111,Automática,Finalizado,0,0.722923822980457,1,20231229
CR000512,CL00454,2025-06-24,Avance de nómina,2150000,12,0.0263,211000,App,887,0.0643,Automática,Activo,0,0.4895572042659036,0,20250624
CR000513,CL00456,2025-06-16,Crédito libre inversión,8850000,6,0.0245,1604000,Aliado,854,1.2,Manual,Mora severa,1,0.5960281441323074,1,20250616
CR000514,CL00458,2026-01-26,Microcrédito,4450000,9,0.0428,606000,Web,900,0.115,Automática,Activo,0,0.2667381452978567,0,20260126
CR000515,CL00458,2026-01-28,Crédito consumo digital,3050000,18,0.0202,204000,Web,900,0.0387,Automática,Activo,0,0.22827203391632925,0,20260128
CR000516,CL00459,2025-10-15,Avance de nómina,4100000,12,0.0231,395000,Aliado,900,0.0434,Automática,Activo,0,0.17912409294641268,0,20251015
CR000517,CL00460,2025-12-01,Avance de nómina,550000,9,0.0218,68000,App,803,0.0289,Automática,Activo,0,0.34783098738659546,0,20251201
CR000518,CL00461,2025-08-20,Avance de nómina,1350000,6,0.0215,242000,App,867,0.1407,Automática,Finalizado,0,0.2490087640925757,0,20250820
CR000519,CL00462,2025-07-03,Microcrédito,2150000,9,0.0261,271000,App,838,0.0968,Automática,Finalizado,0,0.37870362238538424,0,20250703
CR000520,CL00463,2025-05-24,Crédito libre inversión,3350000,18,0.0242,232000,App,839,0.0856,Automática,Activo,0,0.4416860083650804,0,20250524
CR000521,CL00464,2025-07-06,Crédito libre inversión,2050000,12,0.03,206000,Aliado,895,0.1205,Automática,Mora moderada,1,0.5022689834547261,1,20250706
CR000522,CL00467,2025-05-18,Crédito libre inversión,3150000,9,0.019,384000,App,787,0.2021,Automática,Mora moderada,1,0.6521808282989348,1,20250518
CR000523,CL00467,2024-06-30,Microcrédito,3100000,3,0.0357,1108000,App,665,0.5832,Excepción,Mora severa,1,0.8327618324741353,1,20240630
CR000524,CL00468,2026-02-12,Crédito libre inversión,4000000,12,0.0273,395000,App,900,0.0766,Automática,Activo,0,0.1506604928473295,0,20260212
CR000525,CL00469,2024-05-12,Crédito libre inversión,1100000,12,0.0306,111000,App,648,0.1078,Automática,Mora severa,1,0.7586494186017031,1,20240512
CR000526,CL00471,2024-10-30,Crédito consumo digital,450000,3,0.0321,160000,Web,646,0.1758,Automática,Finalizado,0,0.5710048633346726,1,20241030
CR000527,CL00472,2025-10-24,Crédito consumo digital,1550000,6,0.0202,277000,Web,787,0.0972,Automática,Activo,0,0.47901915653751703,0,20251024
CR000528,CL00473,2026-03-30,Crédito consumo digital,1300000,6,0.0373,246000,App,847,0.0953,Automática,Activo,0,0.2998489250782659,0,20260330
CR000529,CL00474,2025-06-16,Microcrédito,2200000,6,0.0254,400000,Web,806,0.2235,Automática,Finalizado,0,0.6296633075370123,1,20250616
CR000530,CL00475,2024-02-28,Crédito consumo digital,1050000,6,0.0371,198000,App,756,0.0975,Automática,Finalizado,0,0.3569763888588814,0,20240228
CR000531,CL00477,2023-10-28,Crédito libre inversión,2550000,6,0.018,452000,App,900,0.1759,Automática,Finalizado,0,0.43582357222023355,0,20231028
CR000532,CL00478,2024-11-06,Crédito libre inversión,2300000,9,0.017,278000,App,820,0.1173,Automática,Mora severa,1,0.5965339245914877,1,20241106
CR000533,CL00479,2025-10-03,Crédito consumo digital,3150000,9,0.0281,401000,App,869,0.1315,Automática,Activo,0,0.21294561987979474,0,20251003
CR000534,CL00480,2025-09-03,Crédito consumo digital,2550000,6,0.0223,459000,Aliado,897,0.1622,Automática,Finalizado,0,0.2941929870517776,0,20250903
CR000535,CL00482,2025-06-03,Microcrédito,2750000,12,0.0385,290000,App,900,0.097,Automática,Activo,0,0.49921738990828535,0,20250603
CR000536,CL00482,2025-12-19,Crédito libre inversión,3200000,3,0.0205,1111000,Aliado,815,0.3716,Manual,Finalizado,0,0.38601169011487746,0,20251219
CR000537,CL00482,2025-09-15,Crédito consumo digital,2050000,24,0.0373,131000,App,833,0.0438,Automática,Activo,0,0.21445888551464184,0,20250915
CR000538,CL00483,2024-12-25,Microcrédito,6300000,3,0.0378,2261000,App,900,0.4172,Manual,Finalizado,0,0.3694467511620374,0,20241225
CR000539,CL00485,2025-03-23,Crédito consumo digital,1450000,12,0.0265,143000,App,814,0.0586,Automática,Mora moderada,1,0.2895123157269374,0,20250323
CR000540,CL00485,2023-11-28,Crédito consumo digital,950000,9,0.0303,122000,App,845,0.05,Automática,Finalizado,0,0.5629628225862517,1,20231128
