credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,es_moroso,fecha_registro,departamento,ciudad,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,canal_adquisicion,score_externo,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,email_hash,antiguedad_cliente_dias,mes_desembolso,dia_semana_desembolso,prev_evento_actualizacion_datos,prev_evento_consulta_saldo,prev_evento_login,prev_evento_pago_exitoso,prev_evento_pago_fallido,prev_evento_pago_iniciado,prev_evento_simulacion_credito,prev_evento_solicitud_soporte,prev_evento_sesion_seg_tot,prev_evento_sesion_seg_avg,probabilidad_mora,prediccion_mora,ingreso_mensual_bi,flag_ingreso
CR000251,CL00230,2026-01-30,Crédito consumo digital,750000,18,0.0285,54000,App,770,0.0207,Automática,Activo,0,2025-12-21,Bogotá D.C.,Bogotá,43,M,1,Sin información,Empleado,2610000.0,Campaña digital,527.0,False,1,iOS,hash_887199,40,1,4,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1031.0,206.2,0.39710365326446456,0,2610000.0,normal
CR000252,CL00231,2024-11-21,Microcrédito,3050000,12,0.029,305000,App,804,0.1245,Automática,Mora moderada,1,2023-08-19,Caldas,Manizales,29,M,4,Sin información,Empleado,2450000.0,Referido,601.0,False,1,iOS,hash_958809,460,11,3,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,838.0,104.75,0.5004754119861184,1,2450000.0,normal
CR000253,CL00231,2024-11-26,Avance de nómina,1100000,3,0.0275,387000,Web,856,0.158,Automática,Finalizado,0,2023-08-19,Caldas,Manizales,29,M,4,Sin información,Empleado,2450000.0,Referido,601.0,False,1,iOS,hash_958809,465,11,1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,943.0,104.77777777777777,0.3568786938699331,0,2450000.0,normal
CR000254,CL00232,2025-01-29,Crédito libre inversión,9200000,6,0.0194,1639000,App,900,0.4017,Manual,Finalizado,0,2024-04-03,Norte de Santander,Cúcuta,38,F,3,Bachiller,Microempresario,4080000.0,App orgánico,642.0,False,0,Android,hash_939934,301,1,2,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,778.0,155.6,0.4769202285491571,0,4080000.0,normal
CR000255,CL00232,2024-09-11,Crédito consumo digital,1450000,9,0.0286,185000,App,832,0.0453,Automática,Finalizado,0,2024-04-03,Norte de Santander,Cúcuta,38,F,3,Bachiller,Microempresario,4080000.0,App orgánico,642.0,False,0,Android,hash_939934,161,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23381304056982094,0,4080000.0,normal
CR000256,CL00233,2024-01-26,Crédito libre inversión,3450000,9,0.026,435000,App,900,0.0946,Automática,Finalizado,0,2023-10-01,Bogotá D.C.,Bogotá,36,M,4,Bachiller,Comerciante,4600000.0,App orgánico,743.0,True,1,Android,hash_929311,117,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5051895103216806,1,4600000.0,normal
CR000257,CL00234,2023-09-02,Crédito consumo digital,1550000,9,0.0251,195000,App,706,0.1114,Automática,Finalizado,0,2023-01-21,Bogotá D.C.,Bogotá,29,F,4,Universitario,Conductor/Repartidor,1750000.0,Aliado comercial,509.0,False,0,iOS,hash_438592,224,9,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,357.0,178.5,0.7319573228023927,1,1750000.0,normal
CR000258,CL00234,2025-05-24,Crédito libre inversión,1350000,6,0.0253,245000,Aliado,776,0.14,Automática,Finalizado,0,2023-01-21,Bogotá D.C.,Bogotá,29,F,4,Universitario,Conductor/Repartidor,1750000.0,Aliado comercial,509.0,False,0,iOS,hash_438592,854,5,5,0.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,1145.0,114.5,0.6736717934820431,1,1750000.0,normal
CR000259,CL00234,2023-05-15,Crédito libre inversión,3100000,6,0.025,563000,Aliado,682,0.3217,Automática,Mora severa,1,2023-01-21,Bogotá D.C.,Bogotá,29,F,4,Universitario,Conductor/Repartidor,1750000.0,Aliado comercial,509.0,False,0,iOS,hash_438592,114,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7552123916865623,1,1750000.0,normal
CR000260,CL00235,2025-05-10,Microcrédito,2400000,6,0.0316,445000,Web,885,0.1382,Automática,Finalizado,0,2023-12-30,Valle del Cauca,Cali,57,M,3,Sin información,Empleado,3220000.0,Aliado comercial,763.0,False,2,Android,hash_871143,497,5,5,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,181.0,45.25,0.27150946317701674,0,3220000.0,normal
CR000261,CL00236,2024-10-15,Avance de nómina,650000,6,0.0301,120000,Aliado,873,0.0349,Automática,Finalizado,0,2023-12-09,Atlántico,Barranquilla,42,F,2,Sin información,Empleado,3440000.0,Campaña digital,593.0,False,1,Android,hash_359405,311,10,1,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,707.0,117.83333333333333,0.3797806479528682,0,3440000.0,normal
CR000262,CL00236,2024-05-24,Crédito consumo digital,1600000,12,0.036,167000,Web,866,0.0485,Automática,Finalizado,0,2023-12-09,Atlántico,Barranquilla,42,F,2,Sin información,Empleado,3440000.0,Campaña digital,593.0,False,1,Android,hash_359405,167,5,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,238.0,119.0,0.39269292507534953,0,3440000.0,normal
CR000263,CL00237,2024-07-05,Crédito consumo digital,1900000,6,0.0204,340000,Call center,838,0.1429,Automática,Mora severa,1,2023-08-07,Atlántico,Barranquilla,19,M,4,Sin información,Independiente,2380000.0,Call center,544.0,True,1,Android,hash_894042,333,7,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,407.0,135.66666666666666,0.7304371592082953,1,2380000.0,normal
CR000264,CL00238,2025-06-23,Crédito libre inversión,5450000,6,0.019,970000,App,814,0.2608,Automática,Finalizado,0,2024-04-10,Santander,Bucaramanga,38,F,3,Técnico/Tecnólogo,Empleado,3720000.0,Call center,583.0,True,1,Android,hash_635848,439,6,0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,585.0,117.0,0.512047520167483,1,3720000.0,normal
CR000265,CL00239,2025-08-12,Crédito consumo digital,2850000,12,0.0268,281000,App,900,0.0376,Automática,Activo,0,2025-12-23,Antioquia,Medellín,29,F,6,Bachiller,Empleado,7480000.0,Referido,766.0,True,0,iOS,hash_244575,-133,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15375592218604678,0,7082400.000000003,outlier_real
CR000266,CL00239,2026-03-20,Crédito libre inversión,14050000,6,0.0289,2584000,App,900,0.3455,Automática,Activo,0,2025-12-23,Antioquia,Medellín,29,F,6,Bachiller,Empleado,7480000.0,Referido,766.0,True,0,iOS,hash_244575,87,3,4,0.0,4.0,2.0,1.0,0.0,0.0,1.0,3.0,2462.0,223.8181818181818,0.1374433347679196,0,7082400.000000003,outlier_real
CR000267,CL00241,2025-04-11,Crédito consumo digital,3150000,6,0.0367,594000,App,859,0.1619,Automática,Finalizado,0,2024-07-14,Bogotá D.C.,Bogotá,28,F,4,Posgrado,Empleado,3670000.0,Aliado comercial,577.0,True,3,iOS,hash_318827,271,4,4,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1282.0,160.25,0.3155133372017677,0,3670000.0,normal
CR000268,CL00241,2024-07-29,Crédito libre inversión,3100000,6,0.019,552000,Aliado,861,0.1504,Automática,Finalizado,0,2024-07-14,Bogotá D.C.,Bogotá,28,F,4,Posgrado,Empleado,3670000.0,Aliado comercial,577.0,True,3,iOS,hash_318827,15,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5288141290885641,1,3670000.0,normal
CR000269,CL00243,2025-09-07,Crédito consumo digital,450000,12,0.0224,43000,App,764,0.0341,Automática,Mora moderada,1,2024-02-29,Santander,Bucaramanga,41,M,1,Técnico/Tecnólogo,Empleado,1260000.0,Campaña digital,587.0,True,2,Android,hash_152127,556,9,6,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1041.0,208.2,0.5679489532932874,1,1260000.0,normal
CR000270,CL00244,2025-01-21,Crédito consumo digital,1500000,6,0.0256,273000,App,861,0.1062,Automática,Mora severa,1,2023-07-21,Bogotá D.C.,Bogotá,45,M,4,Bachiller,Empleado,-1.0,Call center,732.0,False,0,Android,hash_207724,550,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,380.0,190.0,0.4284076186615027,0,-1.0,normal
CR000271,CL00245,2025-08-26,Avance de nómina,1300000,6,0.0188,231000,App,892,0.0589,Automática,Finalizado,0,2025-06-19,Bogotá D.C.,Bogotá,24,M,3,Técnico/Tecnólogo,Empleado,3920000.0,App orgánico,645.0,False,3,iOS,hash_600653,68,8,1,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,426.0,106.5,0.2989757929617129,0,3920000.0,normal
CR000272,CL00245,2025-08-07,Crédito consumo digital,2750000,6,0.0342,515000,App,799,0.1314,Automática,Finalizado,0,2025-06-19,Bogotá D.C.,Bogotá,24,M,3,Técnico/Tecnólogo,Empleado,3920000.0,App orgánico,645.0,False,3,iOS,hash_600653,49,8,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,112.0,56.0,0.3133040096593522,0,3920000.0,normal
CR000273,CL00245,2026-01-15,Crédito libre inversión,3950000,9,0.0256,497000,Web,870,0.1268,Automática,Activo,0,2025-06-19,Bogotá D.C.,Bogotá,24,M,3,Técnico/Tecnólogo,Empleado,3920000.0,App orgánico,645.0,False,3,iOS,hash_600653,210,1,3,1.0,4.0,1.0,3.0,0.0,2.0,0.0,2.0,1225.0,94.23076923076923,0.14805471846062226,0,3920000.0,normal
CR000274,CL00246,2026-03-27,Crédito libre inversión,1200000,3,0.0242,419000,App,755,0.3521,Manual,Activo,0,2024-10-07,Tolima,Ibagué,33,F,1,Universitario,Conductor/Repartidor,1190000.0,Referido,460.0,False,0,Android,hash_472949,536,3,4,0.0,1.0,5.0,1.0,0.0,3.0,1.0,1.0,1754.0,146.16666666666666,0.2883360911566117,0,1190000.0,normal
CR000275,CL00246,2024-12-11,Avance de nómina,250000,3,0.0213,87000,App,795,0.0731,Automática,Finalizado,0,2024-10-07,Tolima,Ibagué,33,F,1,Universitario,Conductor/Repartidor,1190000.0,Referido,460.0,False,0,Android,hash_472949,65,12,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,245.0,122.5,0.5235760614468257,1,1190000.0,normal
CR000276,CL00249,2025-09-20,Crédito libre inversión,4950000,12,0.026,486000,App,831,0.1136,Automática,Activo,0,2025-03-01,Valle del Cauca,Cali,54,M,5,Técnico/Tecnólogo,Comerciante,4280000.0,Referido,727.0,True,0,Web,hash_821754,203,9,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,203.0,101.5,0.33554483338653385,0,4280000.0,normal
CR000277,CL00249,2025-10-19,Crédito libre inversión,8000000,6,0.0201,1429000,App,897,0.3339,Automática,Finalizado,0,2025-03-01,Valle del Cauca,Cali,54,M,5,Técnico/Tecnólogo,Comerciante,4280000.0,Referido,727.0,True,0,Web,hash_821754,232,10,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,327.0,109.0,0.36794225159310173,0,4280000.0,normal
CR000278,CL00250,2024-05-27,Microcrédito,4100000,6,0.0304,758000,App,864,0.1909,Automática,Finalizado,0,2023-04-09,Risaralda,Pereira,40,F,3,Bachiller,Empleado,3970000.0,App orgánico,597.0,False,0,Android,hash_568255,414,5,0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,544.0,136.0,0.5003255146435575,1,3970000.0,normal
CR000279,CL00252,2025-02-05,Crédito consumo digital,550000,6,0.0305,102000,App,879,0.0368,Automática,Finalizado,0,2024-04-27,Bogotá D.C.,Bogotá,45,F,2,Bachiller,Microempresario,2770000.0,App orgánico,652.0,True,1,Android,hash_234585,284,2,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1805.0,257.85714285714283,0.224593716513252,0,2770000.0,normal
CR000280,CL00252,2025-08-08,Crédito consumo digital,2250000,3,0.0339,801000,App,857,0.2892,Automática,Finalizado,0,2024-04-27,Bogotá D.C.,Bogotá,45,F,2,Bachiller,Microempresario,2770000.0,App orgánico,652.0,True,1,Android,hash_234585,468,8,4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2105.0,263.125,0.2573610484525227,0,2770000.0,normal
CR000281,CL00253,2025-06-01,Microcrédito,1750000,3,0.0354,625000,App,851,0.1766,Automática,Finalizado,0,2025-02-17,Bogotá D.C.,Bogotá,57,F,5,Sin información,Pensionado,3540000.0,Campaña digital,684.0,False,0,iOS,hash_193650,104,6,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,211.0,105.5,0.21564242110722526,0,3540000.0,normal
CR000282,CL00254,2024-06-17,Crédito libre inversión,2850000,9,0.033,371000,Call center,768,0.132,Automática,Finalizado,0,2023-04-28,Bogotá D.C.,Bogotá,46,M,2,Técnico/Tecnólogo,Empleado,2810000.0,App orgánico,613.0,True,1,iOS,hash_576785,416,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,229.0,229.0,0.44795764223602896,0,2810000.0,normal
CR000283,CL00255,2025-08-24,Crédito consumo digital,4500000,3,0.0323,1598000,Aliado,900,0.3115,Automática,Finalizado,0,2025-11-23,Bogotá D.C.,Bogotá,21,M,3,Técnico/Tecnólogo,Empleado,5130000.0,Referido,711.0,True,3,iOS,hash_741462,-91,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34788034868584816,0,5130000.0,normal
CR000284,CL00256,2023-08-14,Crédito libre inversión,2750000,3,0.0251,963000,App,840,0.5016,Manual,Finalizado,0,2023-07-01,Bogotá D.C.,Bogotá,31,F,2,Bachiller,Empleado,1920000.0,App orgánico,579.0,False,2,Android,hash_707317,44,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5830289235424033,1,1920000.0,normal
CR000285,CL00258,2025-10-16,Crédito consumo digital,6050000,3,0.0249,2118000,App,900,0.2353,Automática,Finalizado,0,2024-05-19,Bogotá D.C.,Bogotá,29,M,3,Técnico/Tecnólogo,Microempresario,9000000.0,Campaña digital,850.0,False,1,Android,hash_579885,515,10,3,0.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,1304.0,130.4,0.161495766008861,0,7082400.000000003,error_captura
CR000286,CL00258,2025-08-26,Crédito libre inversión,15100000,6,0.0329,2814000,App,900,0.3127,Automática,Finalizado,0,2024-05-19,Bogotá D.C.,Bogotá,29,M,3,Técnico/Tecnólogo,Microempresario,9000000.0,Campaña digital,850.0,False,1,Android,hash_579885,464,8,1,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,1239.0,137.66666666666666,0.22616922007239343,0,7082400.000000003,error_captura
CR000287,CL00259,2026-03-08,Microcrédito,4500000,24,0.0318,271000,Web,900,0.085,Automática,Activo,0,2023-09-24,Bogotá D.C.,Bogotá,40,F,4,Bachiller,Microempresario,3190000.0,App orgánico,622.0,False,0,Android,hash_660151,896,3,6,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,1394.0,174.25,0.3750692015203472,0,3190000.0,normal
CR000288,CL00261,2025-12-31,Crédito libre inversión,3800000,3,0.026,1333000,Call center,695,0.6409,Excepción,Finalizado,0,2025-11-19,Norte de Santander,Cúcuta,27,F,2,Bachiller,Conductor/Repartidor,2080000.0,Aliado comercial,408.0,False,0,Android,hash_495739,42,12,2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,499.0,99.8,0.842154994282041,1,2080000.0,normal
CR000289,CL00262,2026-01-09,Crédito consumo digital,2200000,6,0.0307,407000,App,882,0.1082,Automática,Activo,0,2024-12-08,Bogotá D.C.,Bogotá,35,M,5,Sin información,Empleado,3760000.0,Campaña digital,641.0,True,1,iOS,hash_830351,397,1,4,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,887.0,126.71428571428571,0.33401417392397564,0,3760000.0,normal
CR000290,CL00263,2025-11-06,Crédito consumo digital,500000,12,0.0331,51000,Aliado,818,0.0345,Automática,Mora moderada,1,2024-12-14,Antioquia,Medellín,19,M,2,Universitario,Independiente,1480000.0,Campaña digital,540.0,True,2,iOS,hash_951563,327,11,3,1.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2079.0,207.9,0.6908012147994417,1,1480000.0,normal
CR000291,CL00264,2025-09-20,Avance de nómina,300000,6,0.0234,54000,App,717,1.8,Automática,Mora moderada,1,2025-03-03,Valle del Cauca,Cali,26,M,2,Universitario,Estudiante,800000.0,Campaña digital,441.0,False,0,Android,hash_760501,201,9,5,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1298.0,185.42857142857142,0.7489068614529917,1,800000.0,normal
CR000292,CL00264,2026-01-01,Crédito consumo digital,850000,9,0.029,109000,Aliado,696,0.1363,Automática,Activo,0,2025-03-03,Valle del Cauca,Cali,26,M,2,Universitario,Estudiante,800000.0,Campaña digital,441.0,False,0,Android,hash_760501,304,1,3,0.0,0.0,5.0,1.0,0.0,2.0,2.0,0.0,1902.0,190.2,0.48816868179133904,0,800000.0,normal
CR000293,CL00265,2025-06-05,Crédito libre inversión,900000,9,0.0189,110000,App,789,0.1068,Automática,Mora moderada,1,2023-12-20,Bogotá D.C.,Bogotá,33,F,4,Universitario,Desempleado,1030000.0,Referido,516.0,False,0,Android,hash_297345,533,6,3,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1169.0,146.125,0.7210522115526689,1,1030000.0,normal
CR000294,CL00265,2024-09-07,Crédito consumo digital,450000,6,0.0297,83000,App,760,0.0806,Automática,Finalizado,0,2023-12-20,Bogotá D.C.,Bogotá,33,F,4,Universitario,Desempleado,1030000.0,Referido,516.0,False,0,Android,hash_297345,262,9,5,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,474.0,118.5,0.7035987168362926,1,1030000.0,normal
CR000295,CL00266,2026-01-01,Microcrédito,6900000,12,0.0359,718000,App,881,0.136,Automática,Activo,0,2024-01-03,Meta,Villavicencio,24,M,3,Universitario,Microempresario,5280000.0,Campaña digital,686.0,True,1,iOS,hash_377255,729,1,3,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1605.0,267.5,0.21719052921018572,0,5280000.0,normal
CR000296,CL00268,2025-12-13,Crédito consumo digital,950000,9,0.0251,119000,App,811,0.0569,Automática,Activo,0,2023-10-22,Risaralda,Pereira,22,M,3,Bachiller,Independiente,2090000.0,Referido,620.0,False,3,iOS,hash_990733,783,12,5,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1008.0,144.0,0.28818438663715396,0,2090000.0,normal
CR000297,CL00268,2025-11-18,Microcrédito,1300000,12,0.028,129000,App,900,0.0617,Automática,Activo,0,2023-10-22,Risaralda,Pereira,22,M,3,Bachiller,Independiente,2090000.0,Referido,620.0,False,3,iOS,hash_990733,758,11,1,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,956.0,159.33333333333334,0.3020493373553727,0,2090000.0,normal
CR000298,CL00271,2024-12-20,Microcrédito,3650000,3,0.042,1320000,Aliado,782,0.6502,Excepción,Finalizado,0,2023-09-19,Antioquia,Medellín,50,F,4,Bachiller,Conductor/Repartidor,2030000.0,App orgánico,596.0,False,1,iOS,hash_244378,458,12,4,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,359.0,89.75,0.7356169570279318,1,2030000.0,normal
CR000299,CL00272,2025-05-29,Crédito consumo digital,1800000,12,0.0207,171000,Aliado,844,0.0834,Automática,Mora moderada,1,2025-10-23,Bogotá D.C.,Bogotá,22,M,1,Técnico/Tecnólogo,Empleado,2050000.0,Call center,603.0,False,0,Android,hash_145712,-147,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5836426138261804,1,2050000.0,normal
CR000300,CL00273,2024-05-23,Crédito consumo digital,1150000,12,0.0334,118000,Web,900,0.0393,Automática,Finalizado,0,2024-01-08,Valle del Cauca,Cali,48,M,2,Posgrado,Comerciante,3000000.0,Campaña digital,672.0,False,3,iOS,hash_614906,136,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2425398444032349,0,3000000.0,normal
CR000301,CL00274,2025-08-25,Crédito libre inversión,3350000,9,0.0239,418000,App,900,0.1263,Automática,Activo,0,2025-12-05,Valle del Cauca,Cali,36,F,3,Universitario,Conductor/Repartidor,3310000.0,Campaña digital,654.0,False,0,Android,hash_132125,-102,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42205756461308225,0,3310000.0,normal
CR000302,CL00276,2025-06-13,Crédito libre inversión,800000,6,0.0187,142000,Aliado,604,0.1303,Manual,Mora moderada,1,2024-05-14,Bogotá D.C.,Bogotá,41,M,2,Bachiller,Estudiante,1090000.0,App orgánico,387.0,True,0,Android,hash_872783,395,6,4,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1396.0,349.0,0.599252341424952,1,1090000.0,normal
CR000303,CL00277,2025-10-08,Avance de nómina,400000,18,0.0231,27000,App,798,0.0175,Automática,Activo,0,2025-09-27,Antioquia,Medellín,38,F,4,Bachiller,Estudiante,1540000.0,Referido,542.0,True,3,iOS,hash_158453,11,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5841505465258271,1,1540000.0,normal
CR000304,CL00278,2025-10-08,Crédito libre inversión,11000000,18,0.0274,782000,App,887,0.2327,Automática,Activo,0,2025-09-10,Bolívar,Cartagena,30,F,3,Sin información,Empleado,3360000.0,Aliado comercial,577.0,False,2,Android,hash_430515,28,10,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,388.0,194.0,0.5212638993246989,1,3360000.0,normal
CR000305,CL00278,2025-08-19,Crédito consumo digital,850000,9,0.0256,107000,Aliado,861,0.0318,Automática,Activo,0,2025-09-10,Bolívar,Cartagena,30,F,3,Sin información,Empleado,3360000.0,Aliado comercial,577.0,False,2,Android,hash_430515,-22,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4448959977430532,0,3360000.0,normal
CR000306,CL00279,2024-07-24,Crédito libre inversión,8200000,12,0.029,819000,App,900,0.2834,Automática,Mora severa,1,2023-02-08,Bogotá D.C.,Bogotá,37,M,3,Bachiller,Comerciante,2890000.0,App orgánico,630.0,True,1,Android,hash_935544,532,7,2,0.0,1.0,4.0,0.0,0.0,3.0,1.0,0.0,1724.0,191.55555555555554,0.5010898185250984,1,2890000.0,normal
CR000307,CL00280,2026-01-19,Crédito libre inversión,19300000,6,0.0242,3494000,Web,900,0.5718,Excepción,Mora moderada,1,2025-12-07,Bolívar,Cartagena,32,M,3,Bachiller,Empleado,6110000.0,Call center,703.0,False,2,iOS,hash_352773,43,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,181.0,90.5,0.6891197877234052,1,6110000.0,normal
CR000308,CL00281,2024-02-07,Microcrédito,4450000,6,0.0415,853000,Aliado,885,0.2666,Automática,Mora severa,1,2023-09-02,Risaralda,Pereira,37,M,3,Bachiller,Independiente,3200000.0,Campaña digital,687.0,False,2,Android,hash_169893,158,2,2,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,584.0,146.0,0.45369535510500136,0,3200000.0,normal
CR000309,CL00281,2024-07-08,Avance de nómina,900000,6,0.0249,163000,Call center,900,0.0509,Automática,Finalizado,0,2023-09-02,Risaralda,Pereira,37,M,3,Bachiller,Independiente,3200000.0,Campaña digital,687.0,False,2,Android,hash_169893,310,7,0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,584.0,146.0,0.2355177431253176,0,3200000.0,normal
CR000310,CL00282,2025-12-21,Crédito consumo digital,1400000,6,0.0352,263000,Call center,863,0.0933,Automática,Activo,0,2024-12-21,Bogotá D.C.,Bogotá,43,F,3,Universitario,Empleado,2820000.0,App orgánico,638.0,False,1,iOS,hash_948182,365,12,6,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,411.0,137.0,0.25890045419394303,0,2820000.0,normal
CR000311,CL00283,2025-08-10,Crédito libre inversión,4150000,24,0.0327,252000,App,900,0.0773,Automática,Activo,0,2023-03-22,Bogotá D.C.,Bogotá,52,M,4,Bachiller,Empleado,3260000.0,Campaña digital,668.0,True,1,Web,hash_530423,872,8,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,466.0,116.5,0.24828188163383894,0,3260000.0,normal
CR000312,CL00284,2024-10-26,Crédito consumo digital,1000000,9,0.0323,130000,Aliado,828,0.0546,Automática,Finalizado,0,2023-07-27,Risaralda,Pereira,24,M,4,Bachiller,Microempresario,2380000.0,Campaña digital,592.0,False,2,Android,hash_387740,457,10,5,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,253.0,84.33333333333333,0.46457915492696794,0,2380000.0,normal
CR000313,CL00285,2023-09-01,Avance de nómina,2750000,9,0.0216,340000,Aliado,900,0.053,Automática,Finalizado,0,2023-06-04,Bogotá D.C.,Bogotá,57,F,6,Bachiller,Empleado,6420000.0,Referido,797.0,True,3,iOS,hash_836618,89,9,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0,74.0,0.14851048259059668,0,6420000.0,normal
CR000314,CL00285,2024-10-03,Crédito libre inversión,8350000,12,0.0249,813000,App,900,0.1266,Automática,Finalizado,0,2023-06-04,Bogotá D.C.,Bogotá,57,F,6,Bachiller,Empleado,6420000.0,Referido,797.0,True,3,iOS,hash_836618,487,10,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,810.0,115.71428571428571,0.22692286453852695,0,6420000.0,normal
CR000315,CL00286,2025-08-15,Microcrédito,3200000,6,0.0265,584000,Aliado,616,0.1915,Manual,Mora moderada,1,2025-08-09,Norte de Santander,Cúcuta,19,F,3,Técnico/Tecnólogo,Independiente,3050000.0,Call center,588.0,False,2,Android,hash_934569,6,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6704331495831497,1,3050000.0,normal
CR000316,CL00286,2026-02-06,Crédito consumo digital,2150000,12,0.0204,204000,Aliado,670,0.0669,Automática,Activo,0,2025-08-09,Norte de Santander,Cúcuta,19,F,3,Técnico/Tecnólogo,Independiente,3050000.0,Call center,588.0,False,2,Android,hash_934569,181,2,4,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,1211.0,134.55555555555554,0.17105671024978147,0,3050000.0,normal
CR000317,CL00287,2025-09-10,Microcrédito,2500000,9,0.0292,320000,App,900,0.1049,Automática,Activo,0,2024-10-12,Antioquia,Medellín,34,F,3,Bachiller,Empleado,3050000.0,Campaña digital,613.0,True,0,iOS,hash_713008,333,9,2,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,580.0,145.0,0.4163055915060254,0,3050000.0,normal
CR000318,CL00288,2024-09-30,Crédito libre inversión,2250000,9,0.0206,276000,Web,817,0.1015,Automática,Finalizado,0,2024-09-08,Antioquia,Medellín,42,F,3,Universitario,Empleado,2720000.0,Referido,560.0,False,1,Android,hash_763779,22,9,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,116.0,116.0,0.5592789954656173,1,2720000.0,normal
